no,gender,age,height,weight,bmi,griffith,sensitivity,environment,thermal sensation,thermal comfort,thermal preference,room,seat,season,date,time,ta,hr
3,0,26,167,52,0,1.7,0,1,0,1,2,224,3,summer,2019/7/24,10:59:00,25,54.98
3,0,26,167,52,0,1.7,0,1,0,1,2,224,3,summer,2019/7/24,11:29:00,25,55.11
3,0,26,167,52,0,1.7,0,1,0,1,2,224,3,summer,2019/7/24,11:59:00,25,55.04
3,0,26,167,52,0,1.7,0,1,0,1,2,224,1,summer,2019/7/18,17:00:00,25.4,59.56
3,0,26,167,52,0,1.7,0,1,-0.5,1,2,224,3,summer,2019/7/24,14:59:00,23.2,57.32
3,0,26,167,52,0,1.7,0,1,-0.5,1,2,224,3,summer,2019/7/24,15:29:00,23.2,56.88
3,0,26,167,52,0,1.7,0,1,0,1,2,224,1,summer,2019/7/18,17:30:00,25.8,60.63
3,0,26,167,52,0,1.7,0,1,-0.5,1,2,224,1,summer,2019/7/18,10:01:00,24.9,58.77
3,0,26,167,52,0,1.7,0,1,-0.5,1,3,224,1,summer,2019/7/18,16:30:00,24.8,56.17
3,0,26,167,52,0,1.7,0,1,0,1,2,202,3,summer,2019/7/17,16:23:00,25.5,55.62
3,0,26,167,52,0,1.7,0,1,0,1,2,202,3,summer,2019/7/17,9:06:00,26.2,63.08
3,0,26,167,52,0,1.7,0,1,-0.5,1,2,202,3,summer,2019/7/17,9:35:00,25.2,55.93
3,0,26,167,52,0,1.7,0,1,-1,1,3,202,3,summer,2019/7/17,10:05:00,25,55.23
3,0,26,167,52,0,1.7,0,1,0,1,2,202,3,summer,2019/7/17,10:35:00,25.8,57.68
3,0,26,167,52,0,1.7,0,1,0,1,2,202,3,summer,2019/7/17,11:05:00,26.1,59.91
3,0,26,167,52,0,1.7,0,1,0,1,1,202,3,summer,2019/7/17,11:36:00,26.2,61.48
3,0,26,167,52,0,1.7,0,1,0,1,2,202,3,summer,2019/7/17,12:06:00,26.4,62.3
3,0,26,167,52,0,1.7,0,1,0,1,2,202,3,summer,2019/7/17,14:22:00,24.9,54.34
3,0,26,167,52,0,1.7,0,1,0.5,1,2,202,3,summer,2019/7/17,14:52:00,25.3,56.5
3,0,26,167,52,0,1.7,0,1,0.5,1,2,202,3,summer,2019/7/17,15:23:00,25.8,59.15
3,0,26,167,52,0,1.7,0,1,0,1,2,202,3,summer,2019/7/17,15:53:00,26.1,61.19
3,0,26,167,52,0,1.7,0,1,-0.5,1,3,202,3,summer,2019/7/17,16:53:00,24.9,54.7
3,0,26,167,52,0,1.7,0,1,0,1,3,224,1,summer,2019/7/18,16:00:00,24.6,57.47
3,0,26,167,52,0,1.7,0,1,0,1,2,202,3,summer,2019/7/17,17:24:00,24.6,53.2
3,0,26,167,52,0,1.7,0,1,0,1,2,224,1,summer,2019/7/18,9:00:00,26.1,62.85
3,0,26,167,52,0,1.7,0,1,0,1,2,224,1,summer,2019/7/18,9:30:00,25.4,59.47
